file_id	author	title	volume	birth	death
kaalund01_workid77765	 H. V. Kaalund	Spurveungen.	SAMLEDE DIGTE	1818	1885
michs_10_workid54098	 Sophus Michaëlis	Hellener og barbar	HIMMELSKIBET	1865	1932
stuckenberg02_workid84719	 Viggo Stuckenberg	Snetinder	SAMLEDE VÆRKER	1863	1905
grundtvig12val_workid93303	 N.F.S. Grundtvig	Lazarus laae paa sotteseng	SAMLET UDGAVE	1783	1872
rode_13_workid56006	 Helge Rode	Den lyse nat	DEN VILDE ROSE	1870	1937
aarestrup07val_workid54620	 Emil Aarestrup	Oprindelse (dk)	Udvalgte digte	1800	1856
claussen11val_workid60653	 Sophus Claussen	Tusmørket sniger sig ind i mit rige	Lyrik IX:1	1865	1931
grundtvig11val_workid149981	 N.F.S. Grundtvig	Himlene, talsmand! fortælle din ære	SAMLET UDGAVE	1783	1872
kaalund01_workid61389	 H. V. Kaalund	Tankespillet.	SAMLEDE DIGTE	1818	1885
michs_05_workid57776	 Sophus Michaëlis	Alle bøgerne -	LIVETS FEST	1865	1932
grundtvig11val_workid135637	 N.F.S. Grundtvig	Hører til, i høie himle	SAMLET UDGAVE	1783	1872
richardt02_workid76329	 Christian Richardt	Vierwaldstädter-søen.	SAMLEDE DIGTE. ANDEN DEEL.	1831	1892
claussen04val_workid58879	 Sophus Claussen	Læbeblomsterne	Lyrik II	1865	1931
claussen04val_workid56076	 Sophus Claussen	Villaveje	Lyrik II	1865	1931
oehl01val_workid71719	 Adam Oehlenschläger	Issefiorden	POETISKE SKRIFTER I	1779	1850
oehl01val_workid68700	 Adam Oehlenschläger	Flodpigens vise.	POETISKE SKRIFTER I	1779	1850
michs_11_workid58542	 Sophus Michaëlis	Alpeglød	ROMERSK FORAAR	1865	1932
brorson01_workid86817	 Hans Adolph Brorson	Hører, i som græde,	Samlede skrifter	1694	1764
brorson01_workid75612	 Hans Adolph Brorson	Alle christne-siele skynder	Samlede skrifter	1694	1764
richardt01_workid62822	 Christian Richardt	I skoven	SAMLEDE DIGTE AF CHR. RICHARDT. FØRSTE DEEL	1831	1892
kingo04val_workid59281	 Thomas Kingo	Kom o hedning-frelser sand	Samlede Skrifter 4	1634	1703
richardt03_workid80582	 Christian Richardt	Abigael forchhammer.	SAMLEDE DIGTE. TREDJE DEEL.	1831	1892
hcaeventyr04val_workid87217	 Hans Christian Andersen	Bispen paa børglum og hans frænde	Eventyr IV	1805	1875
aakjaer01val_workid77677	 Jeppe Aakjær	Bjørnstjerne bjørnson	SAMLEDE VÆRKER I	1866	1930
leonora01_workid59352	 Leonora Christina	Rejsen til korsør 1656	JAMMERS MINDE OG ANDRE SELVBIOGRAFISKE SKILDRINGER	1621	1698
kingo01val_workid90688	 Thomas Kingo	Gravskrift over christian gyldenløve 1703	Samlede Skrifter 1	1634	1703
sthen01val_workid76160	 Hans Christensen Sthen	Den tredie vise, et trofast hierte, etc. ocsaa christelige forandret	Skrifter I En liden Vandrebog	1544	1610
claussen11val_workid78530	 Sophus Claussen	Nu løses frosten af den milde regn	Lyrik IX:1	1865	1931
ewald05val_workid71268	 Johannes Ewald	Rungsteds lyksaligheder. en ode (1775)	Samlede skrifter	1743	1781
ewald03val_workid59756	 Johannes Ewald	De paradiso (1764)	Samlede skrifter	1743	1781
heiberg_bind03_workid56174	 Johan Ludvig Heiberg	Nye digte (1841)	Poetiske skrifter III	1791	1860
wied01val_workid71020	 Gustav Wied	Livsglæde	Romaner Noveller Skuespil 1	1858	1914
sthen01val_workid68460	 Hans Christensen Sthen	Symbolum joh. christ. sthenij, roschild. constans amor et labor omnia vincit...	Skrifter I En liden Vandrebog	1544	1610
claussen09val_workid59423	 Sophus Claussen	Besøget i himlen	Lyrik VII	1865	1931
stuckenberg02_workid61555	 Viggo Stuckenberg	November 1885	SAMLEDE VÆRKER	1863	1905
stub02val_workid65769	 Ambrosius Stub	Et varigt vel er dog engang at finde	Digte	1705	1758
grundtvig11val_workid96415	 N.F.S. Grundtvig	O helt allerbedst	SAMLET UDGAVE	1783	1872
munp2_workid61018	 Gustaf Munch-Petersen	The song of the black banner	samlede skrifter II	1912	1938
ewald02dkval_workid56493	 Johannes Ewald	Et glimt fra tiden ind i evigheden ved frue geheimeraadinde von schulins ...(dk)	Udvalgte digte	1743	1781
richardt01_workid73947	 Christian Richardt	Godt mod!	SAMLEDE DIGTE AF CHR. RICHARDT. FØRSTE DEEL	1831	1892
chievitz01_workid54105	 Poul Chievitz	Fra gaden	Fra Gaden	1817	1854
baggesen02val_workid57067	 Jens Baggesen	Tvungen latter	Riimbreve og Epistler	1764	1826
claussen03val_workid73954	 Sophus Claussen	1884	Lyrik I	1865	1931
stub01val_workid62911	 Ambrosius Stub	En anden vise om wtroskab, siungis met den thone: ieg veed en vrt baade deylig oc bold, etc.	Digte	1705	1758
aakjaer02val_workid60425	 Jeppe Aakjær	Autografsamler.	SAMLEDE VÆRKER II	1866	1930
kingo04val_workid66730	 Thomas Kingo	Af adams fald fordervet slet	Samlede Skrifter 4	1634	1703
aakjaer02val_workid71677	 Jeppe Aakjær	Til en møllerdatter.	SAMLEDE VÆRKER II	1866	1930
bording01val_workid83285	 Anders Bording	Hvor mangen høy bedrift oc herlig mandoms prøfve	Digte	1619	1677
richardt01_workid58372	 Christian Richardt	Paa koncerten.	SAMLEDE DIGTE AF CHR. RICHARDT. FØRSTE DEEL	1831	1892
kingo04val_workid121553	 Thomas Kingo	Aff dybsens nød raaber jeg til dig	Samlede Skrifter 4	1634	1703
munp2_workid69806	 Gustaf Munch-Petersen	Bøn	samlede skrifter II	1912	1938
brorson01_workid138988	 Hans Adolph Brorson	O jesu! troens dyre skat,	Samlede skrifter	1694	1764
kingo04val_workid104303	 Thomas Kingo	Herren hand er min hyrde good	Samlede Skrifter 4	1634	1703
claussen03val_workid59831	 Sophus Claussen	Solnedgang	Lyrik I	1865	1931
grundtvig04val_workid81120	 N.F.S. Grundtvig	Nyaars-morgen	UDVALGTE SKRIFTER	1783	1872
larsenthfiredigt_workid67628	 Thøger Larsen	Brudeslot	Fire digtsamlinger 1904-1912	1875	1928
boedtcher01_workid77137	 Ludvig Bødtcher	Et varsel	SAMLEDE DIGTE	1793	1874
moeller01val_workid59044	 Poul Martin Møller	Sang til steffens	SKRIFTER I UDVALG	1794	1838
bang06val_workid56916	 Herman Bang	Til peter nansen. festtelegram.	Værker i Mindeudgave 6	1857	1912
wied02val_workid54540	 Gustav Wied	Prinsessen af frørup	Romaner Noveller Skuespil 2	1858	1914
richardt02_workid101724	 Christian Richardt	For universitetet.	SAMLEDE DIGTE. ANDEN DEEL.	1831	1892
ewald05val_workid74029	 Johannes Ewald	Opinions (1778)	Samlede skrifter	1743	1781
grundtvig12val_workid58960	 N.F.S. Grundtvig	Naar nat udvælder	SAMLET UDGAVE	1783	1872
kingo02val_workid56521	 Thomas Kingo	Chr. v's hiemkomst fra holstein til kiøbenhafn 1672	Samlede Skrifter 2	1634	1703
wied01val_workid70039	 Gustav Wied	Nogle aforismer i anledning af interpellationen i storehedinge og dens følger	Romaner Noveller Skuespil 1	1858	1914
heibergpa01val_workid89398	 Peter Andreas Heiberg	De vonner og vanner	Udvalgte Skrifter	1758	1841
oehl01val_workid67113	 Adam Oehlenschläger	Hiemvee. (i fraværelsen), af 'digtninger, første deel', 1811	POETISKE SKRIFTER I	1779	1850
brorson02val_workid84366	 Hans Adolph Brorson	Vær trøstig mit hierte, bedrøv dig ey meer	Samlede skrifter	1694	1764
aarestrup07val_workid78394	 Emil Aarestrup	Bebreidelsen (dk)	Udvalgte digte	1800	1856
plough01_workid55408	 Carl Ploug	Norden [1]	SAMLEDE DIGTE	1813	1894
heibfr01_workid54096	 Johanne Luise Heiberg	Et liv genoplevet i erindringen, bind i 1812-42	Et liv genoplevet i erindringen BIND I 1812-42	1812	1890
kingo01val_workid91440	 Thomas Kingo	Æresvers under søster worm, enke efter erik torms portræt 1685	Samlede Skrifter 1	1634	1703
kingo04val_workid111098	 Thomas Kingo	Kommer, i som vil ledsage	Samlede Skrifter 4	1634	1703
ewald02dkval_workid72287	 Johannes Ewald	Til thalias caroline paa hendes fødselsdag d 5te febr: 1772 (dk)	Udvalgte digte	1743	1781
munp1_workid59644	 Gustaf Munch-Petersen	Til en ung ven	samlede skrifter I	1912	1938
bang06val_workid71706	 Herman Bang	Udvist af tyskland	Værker i Mindeudgave 6	1857	1912
richardt01_workid59009	 Christian Richardt	Efter stormen.	SAMLEDE DIGTE AF CHR. RICHARDT. FØRSTE DEEL	1831	1892
munp2_workid65199	 Gustaf Munch-Petersen	Tro	samlede skrifter II	1912	1938
munp1_workid58765	 Gustaf Munch-Petersen	Den 28de februar 1833.	samlede skrifter I	1912	1938
grundtvig11val_workid81092	 N.F.S. Grundtvig	Vor herres røst er kirkens aand	SAMLET UDGAVE	1783	1872
rode_02_workid60230	 Helge Rode	Nu kommer natten -	DIGTE	1870	1937
claussen09val_workid68191	 Sophus Claussen	Digterkultus	Lyrik VII	1865	1931
kingo04val_workid116779	 Thomas Kingo	Christ stod op aff døde	Samlede Skrifter 4	1634	1703
worm01val_workid80515	 Jacob Worms	Gejstlighedens heste-suck og hoppe-gisp	SKRIFTER	1642	1693
ewald05val_workid73486	 Johannes Ewald	Sørge-cantata ved salig herr ulrich friderich suhms begravelse den 22 jan. 1778	Samlede skrifter	1743	1781
stub01val_workid59476	 Ambrosius Stub	Kiærligheds alphabet	Digte	1705	1758
richardt02_workid72059	 Christian Richardt	Ved kysthospitalets indvielse.	SAMLEDE DIGTE. ANDEN DEEL.	1831	1892
aare03val_workid74504	 Emil Aarestrup	Hvilestedet	Aarestrup vol 3	1800	1856
kingo03val_workid99589	 Thomas Kingo	O herre! holt din øren aaben	Samlede Skrifter 3	1634	1703
brorson01_workid93764	 Hans Adolph Brorson	Drag, jesu, mig	Samlede skrifter	1694	1764
heiberg_bind01_workid68590	 Johan Ludvig Heiberg	Recensenten og dyret. vaudeville	Poetiske skrifter	1791	1860
grundtvig11val_workid82353	 N.F.S. Grundtvig	Siig kun et ord	SAMLET UDGAVE	1783	1872
wintherchr01val_workid96258	 Christian Winther	Paa landet skal du leve	Poetiske Skrifter 1	1796	1876
stuckenberg02_workid66992	 Viggo Stuckenberg	Augustaften	SAMLEDE VÆRKER	1863	1905
kingo03val_workid90431	 Thomas Kingo	Lyksalig dag! som nu saa bliid	Samlede Skrifter 3	1634	1703
paludanm01_workid92090	 Frederik Paludan-Müller	Slaaer sammen alle hænder,	POETISKE SKRIFTER I UDVALG I. BIND	1809	1876
palladius04val_workid83710	 Peter Palladius	Salmer	Danske Skrifter	1503	1560
aarestrup07val_workid74994	 Emil Aarestrup	Paa maskeraden ... (dk)	Udvalgte digte	1800	1856
rode_08_workid59059	 Helge Rode	Klagesang	DEN STILLE HAVE	1870	1937
palladius03val_nodecls_139651354130976	 Peter Palladius		Danske Skrifter	1503	1560
brorson02val_workid112751	 Hans Adolph Brorson	Staa fast, min siel! staa fast	Samlede skrifter	1694	1764
kingo04val_workid61032	 Thomas Kingo	Hvor snarlig rinder livet bort!	Samlede Skrifter 4	1634	1703
ewald05val_workid58850	 Johannes Ewald	Balders død. (1775)	Samlede skrifter	1743	1781
richardt02_workid97677	 Christian Richardt	Hvad tiden fordrer.	SAMLEDE DIGTE. ANDEN DEEL.	1831	1892
kaalund01_workid77888	 H. V. Kaalund	Skaden.	SAMLEDE DIGTE	1818	1885
michs_11_workid59389	 Sophus Michaëlis	Afrodites fødsel	ROMERSK FORAAR	1865	1932
kingo09val_workid100321	 Thomas Kingo	Paa æsken med ole borchs sten 1690 (dk)	Digtning i udvalg	1634	1703
holb06val_workid54649	 Ludvig Holberg	Den pantsatte bondedreng	Værker i tolv bind	1684	1754
schandorph01val_workid81332	 Sophus Schandorph	Kærlighed fra trommesalen	FORTÆLLINGER FØRSTE BIND	1836	1901
rode_02_workid55421	 Helge Rode	Jeg ejer -	DIGTE	1870	1937
hertz09_lev_workid55935	 Henrik Hertz	Glenten	Digte fra forskjellige Perioder	1798	1870
grundtvig12val_workid54721	 N.F.S. Grundtvig	Hvad er det, vi skue	SAMLET UDGAVE	1783	1872
grundtvig11val_workid151935	 N.F.S. Grundtvig	Dag med ære, dag med ynde	SAMLET UDGAVE	1783	1872
stub01val_workid72741	 Ambrosius Stub	Menneskets levnets lob	Digte	1705	1758
blich06_workid71806	 Steen Steensen Blicher	Johanna gray [uddrag]	Udvalgte Værker	1782	1848
plough01_workid88469	 Carl Ploug	Grundloven [2]	SAMLEDE DIGTE	1813	1894
bang06val_workid89996	 Herman Bang	Betty nansen	Værker i Mindeudgave 6	1857	1912
andersen05val_workid54101	 Hans Christian Andersen	Improvisatoren	Kun en Spillemand	1805	1875
hertz10_lev_workid69568	 Henrik Hertz	Coplas	Blandede Digte	1798	1870
grundtvig11val_workid101405	 N.F.S. Grundtvig	Vaagn op, du helgen-kiæde	SAMLET UDGAVE	1783	1872
stub01val_workid69867	 Ambrosius Stub	Ordsprog	Digte	1705	1758
munp2_workid67075	 Gustaf Munch-Petersen	Fienden	samlede skrifter II	1912	1938
grundtvig12val_workid99216	 N.F.S. Grundtvig	Du sande gud! hør du min bøn	SAMLET UDGAVE	1783	1872
brorson01_workid86400	 Hans Adolph Brorson	Hvad er dog paaske sød og bliid	Samlede skrifter	1694	1764
bording01val_workid106622	 Anders Bording	Ak! amaryllis har du slet	Digte	1619	1677
kidde02val_workid54322	 Harald Kidde	Aage og else - livet -	AAGE OG ELSE - LIVET -	1878	1918
aare03val_workid73096	 Emil Aarestrup	Anmodning	Aarestrup vol 3	1800	1856
holb11val_workid65230	 Ludvig Holberg	Epistola 247	"Værker i tolv bind, XI<lb xml:id=""idm140209967157744""/> EPISTLER"	1684	1754
wintherchr03val_workid63613	 Christian Winther	Annette	Poetiske Skrifter 3	1796	1876
kingo01val_workid97036	 Thomas Kingo	Mølle borups velkom til n. p. brinck og maren christensdatter 1675	Samlede Skrifter 1	1634	1703
kingo04val_workid98958	 Thomas Kingo	I christne, i som kaldes vil	Samlede Skrifter 4	1634	1703
bording01val_workid63800	 Anders Bording	Den lille nøgen dreng/ den rette pudsedriffver	Digte	1619	1677
aakjaer01val_workid60496	 Jeppe Aakjær	Saa fager for hun -	SAMLEDE VÆRKER I	1866	1930
heiberg_bind03_workid55335	 Johan Ludvig Heiberg	Cantate ved universitetets fest i anledning af reformationens indførelse samt rectorskiftet (1859)	Poetiske skrifter III	1791	1860
helgesen02_workid58341	 Poul Helgesen	Svar til kong gøstaff (1528)	SKRIFTER AF PAULUS HELIE BIND II	1485	1534
bording01val_workid129585	 Anders Bording	Hvi min lykke sover du?	Digte	1619	1677
aare02val_workid71739	 Emil Aarestrup	Digternes prydelse	Samlede Skrifter II	1800	1856
bording01val_workid97608	 Anders Bording	Ach! ney: min broder/ ney: hvorledis vi det mage	Digte	1619	1677
richardt02_workid84738	 Christian Richardt	For studenterne.	SAMLEDE DIGTE. ANDEN DEEL.	1831	1892
bang01val_workid90887	 Herman Bang	Sommerglæder	Værker i Mindeudgave 1	1857	1912
ewald02dkval_workid69093	 Johannes Ewald	Fragment (2) (dk)	Udvalgte digte	1743	1781
michs_11_workid65274	 Sophus Michaëlis	Ygdrasil	ROMERSK FORAAR	1865	1932
aarestrup07val_workid71399	 Emil Aarestrup	Grenenes lyd (dk)	Udvalgte digte	1800	1856
bording01val_workid129262	 Anders Bording	Hvem skal jeg min angist klage	Digte	1619	1677
hcaeventyr01val_workid64209	 Hans Christian Andersen	Aftenslotte	Eventyr I	1805	1875
palladius02val_nodecls_139771561775168	 Peter Palladius		Danske Skrifter	1503	1560
bording01val_workid100363	 Anders Bording	Vel maae den mørke graf/ o fromme hjort/ fortære	Digte	1619	1677
claussen11val_workid78619	 Sophus Claussen	En drøm om skønhed var alt mit liv .. .	Lyrik IX:1	1865	1931
kingo04val_workid55954	 Thomas Kingo	Helligste trefoldighed	Samlede Skrifter 4	1634	1703
jacob03val_workid61392	 J.P. Jacobsen	Hilsen*	Samlede Værker III	1847	1885
claussen08val_workid56117	 Sophus Claussen	Første hexameterbrev til johannes jørgensen	Lyrik VI	1865	1931
claussen09val_workid74316	 Sophus Claussen	Eksekution	Lyrik VII	1865	1931
aakjaer02val_workid65311	 Jeppe Aakjær	Dr. s. rambusch. ved hans flytning fra sjørup til aalborg.	SAMLEDE VÆRKER II	1866	1930
wintherchr01val_workid59163	 Christian Winther	Til betty hennings	Poetiske Skrifter 1	1796	1876
richardt01_workid93110	 Christian Richardt	Mødet i norge.	SAMLEDE DIGTE AF CHR. RICHARDT. FØRSTE DEEL	1831	1892
sthen01val_workid76998	 Hans Christensen Sthen	En klagelig oc dog trøstelig sang oc vise, for en person der suag oc til alders kommen er	Skrifter I En liden Vandrebog	1544	1610
palladius03val_nodecls_139651353817520	 Peter Palladius		Danske Skrifter	1503	1560
grundtvig12val_workid82819	 N.F.S. Grundtvig	Kom, lad os prise de herlige mænd	SAMLET UDGAVE	1783	1872
stub01val_workid67880	 Ambrosius Stub	Oversættelse af rostgaards latinske digt i anledning af den kgl. families indtog paa christiansborg	Digte	1705	1758
dalgasdomval_workid54438	 Ernesto Dalgas	Dommedags bog	Dommedags Bog	1871	1899
skjold_03_workid54788	 Johan Skjoldborg	Delfin	DYNÆS DIGTE	1861	1936
paludanm01_workid125034	 Frederik Paludan-Müller	Hertha holstein (1843)	POETISKE SKRIFTER I UDVALG I. BIND	1809	1876
richardt01_workid94579	 Christian Richardt	Emanuel richardt.	SAMLEDE DIGTE AF CHR. RICHARDT. FØRSTE DEEL	1831	1892
wesselhhl_workid76088	 Johan Herman Wessel	De to agerhøns	Samlede Digte	1742	1785
aakjaer02val_workid87485	 Jeppe Aakjær	En skrædder i sengen.	SAMLEDE VÆRKER II	1866	1930
munp2_workid70172	 Gustaf Munch-Petersen	November	samlede skrifter II	1912	1938
stuckenberg02_workid96761	 Viggo Stuckenberg	Polenzthal	SAMLEDE VÆRKER	1863	1905
plough01_workid67977	 Carl Ploug	Michael petronius bille	SAMLEDE DIGTE	1813	1894
grundtvig11val_workid101075	 N.F.S. Grundtvig	Høiere end huus og hald	SAMLET UDGAVE	1783	1872
baggesen02val_workid76323	 Jens Baggesen	Tausheden	Riimbreve og Epistler	1764	1826
staffeldt01val_workid100150	 Schack von Staffeldt	Jægeren	Samlede digte	1769	1826
bording01val_workid116058	 Anders Bording	Milde soel hui lader du	Digte	1619	1677
munp1_workid80110	 Gustaf Munch-Petersen	Morgenens bad	samlede skrifter I	1912	1938
rode_04_workid57440	 Helge Rode	Ved tolstois død	ARIEL. EN DIGTSAMLING	1870	1937
kingo02val_workid69279	 Thomas Kingo	Chr. v's igienkomst fra holstein til fyen 1679	Samlede Skrifter 2	1634	1703
ewald06val_workid58942	 Johannes Ewald	De fremmede	Samlede skrifter	1743	1781
stuckenberg02_workid85026	 Viggo Stuckenberg	Jeg strider ej med spot	SAMLEDE VÆRKER	1863	1905
grundtvig11val_workid160830	 N.F.S. Grundtvig	Talsmand! som paa jorderige	SAMLET UDGAVE	1783	1872
wied12val_workid87524	 Gustav Wied	Den reddende engel	ROMANER NOVELLER SKUESPIL	1858	1914
bergsoe02_workid54211	 Vilhelm Bergsøe	Fra den gamle fabrik	POETISKE SKRIFTER ANDET BIND	1835	1911
stuckenberg02_workid59473	 Viggo Stuckenberg	Ved stranden	SAMLEDE VÆRKER	1863	1905
boedtcher01_workid82842	 Ludvig Bødtcher	1 september 1859	SAMLEDE DIGTE	1793	1874
hertz09_lev_workid65461	 Henrik Hertz	Recitativ og aria, siunget den 18. maj 1771, ...	Digte fra forskjellige Perioder	1798	1870
hcaeventyr03val_workid82063	 Hans Christian Andersen	En historie fra klitterne	Eventyr III	1805	1875
michs_01_workid55719	 Sophus Michaëlis	Myggedans	DIGTE	1865	1932
grundtvig05val_workid95030	 N.F.S. Grundtvig	Skal den lutherske reformation virkelig fortsættes	UDVALGTE SKRIFTER	1783	1872
kingo03val_workid93070	 Thomas Kingo	Gud vær mig naadig, og tilgiv	Samlede Skrifter 3	1634	1703
wintherchr02val_workid86480	 Christian Winther	Den 17de juli 1837	Poetiske Skrifter 2	1796	1876
kingo04val_workid104962	 Thomas Kingo	Vil dog himlen intet tale	Samlede Skrifter 4	1634	1703
aare02val_workid67535	 Emil Aarestrup	Riimbrev til frøken w.	Samlede Skrifter II	1800	1856
michs_01_workid54087	 Sophus Michaëlis	Kraft	DIGTE	1865	1932
kingo04val_workid110319	 Thomas Kingo	Dend schønne huis tienner och egen jeg er	Samlede Skrifter 4	1634	1703
sthen01val_workid56796	 Hans Christensen Sthen	Naar det ringer tolff, da tag din hat aff, bede oc sige: jesu christe fili vivi dei, miserere mei	Skrifter I En liden Vandrebog	1544	1610
boedtcher01_workid78052	 Ludvig Bødtcher	I daalum mølle	SAMLEDE DIGTE	1793	1874
claussen04val_workid56208	 Sophus Claussen	Romance	Lyrik II	1865	1931
brorson01_workid94854	 Hans Adolph Brorson	Guddoms straale, himmel-lue,	Samlede skrifter	1694	1764
munp2_workid69408	 Gustaf Munch-Petersen	Lav horisont	samlede skrifter II	1912	1938
ewald05val_workid98808	 Johannes Ewald	An wolles dreng	Samlede skrifter	1743	1781
rode_01_workid60541	 Helge Rode	Sang	HVIDE BLOMSTER	1870	1937
wied12val_workid54684	 Gustav Wied	Ranke viljer	ROMANER NOVELLER SKUESPIL	1858	1914
blich06_workid75885	 Steen Steensen Blicher	Jyllandsrejse i sex døgn	Udvalgte Værker	1782	1848
baggesen02val_workid69194	 Jens Baggesen	Forfatterens liv og levnet i paris	Riimbreve og Epistler	1764	1826
aare03val_workid61004	 Emil Aarestrup	Nordexpeditionen	Aarestrup vol 3	1800	1856
kingo01val_workid100228	 Thomas Kingo	Hexerie eller blind allarm	Samlede Skrifter 1	1634	1703
moeller02val_workid60354	 Poul Martin Møller	Tanker over muligheden af beviser for menneskets  udødelighed	SKRIFTER I UDVALG	1794	1838
wesselhhl_workid79789	 Johan Herman Wessel	Nulla regula sine exceptione	Samlede Digte	1742	1785
claussen08val_workid62869	 Sophus Claussen	Nye tider	Lyrik VI	1865	1931
stuckenberg02_workid68668	 Viggo Stuckenberg	Ensom	SAMLEDE VÆRKER	1863	1905
aarestrup07val_workid58686	 Emil Aarestrup	Sommerens tale (dk)	Udvalgte digte	1800	1856
brorson02val_workid92666	 Hans Adolph Brorson	Du hiertens fryd for rene sinde	Samlede skrifter	1694	1764
wintherchr01val_workid78237	 Christian Winther	Til storken	Poetiske Skrifter 1	1796	1876
claussen11val_workid58766	 Sophus Claussen	Ak en sød utugtig længsel . . .	Lyrik IX:1	1865	1931
kingo03val_workid75078	 Thomas Kingo	Aldrig er jeg uden vaade	Samlede Skrifter 3	1634	1703
stub02val_workid67003	 Ambrosius Stub	Jeg er fornøyet med min gud	Digte	1705	1758
stub01val_workid74033	 Ambrosius Stub	En giftefærdig piges klage over sin moders urimelighed i at nægte hende et anstændigt ægteskab	Digte	1705	1758
rode_04_workid58828	 Helge Rode	Vaaren i frederiksberg have	ARIEL. EN DIGTSAMLING	1870	1937
drachmann01_workid60985	 Holger Drachmann	Foraarsstemning	SAMLEDE POETISKE SKRIFTER FØRSTE BIND	1846	1908
kingo04val_workid61398	 Thomas Kingo	Bort mørk, bort søvne taage	Samlede Skrifter 4	1634	1703
hjort_15_workid58238	 Knud Hjortø	Kain pløied rask i vaar	DRØMMEN OM KVINDEN	1869	1931
aarestrup07val_workid67897	 Emil Aarestrup	I theatret (dk)	Udvalgte digte	1800	1856
kingo04val_workid80973	 Thomas Kingo	O meer end sterke høvedsmand	Samlede Skrifter 4	1634	1703
aakjaer02val_workid69255	 Jeppe Aakjær	Pigen paa diget. til en gælisk melodi.	SAMLEDE VÆRKER II	1866	1930
kingo02val_workid74364	 Thomas Kingo	Dend seylende venus 1695	Samlede Skrifter 2	1634	1703
hertz10_lev_workid72860	 Henrik Hertz	Et vindselbrev	Blandede Digte	1798	1870
kingo01val_workid91294	 Thomas Kingo	Æresvers under ambrosius hardenbechs portræt 1685	Samlede Skrifter 1	1634	1703
aakjaer01val_workid57479	 Jeppe Aakjær	Det 'levende' ord	SAMLEDE VÆRKER I	1866	1930
bording01val_workid69695	 Anders Bording	J mindes vel vor barndoms tid	Digte	1619	1677
worm01val_workid58700	 Jacob Worms	Corollaria.	SKRIFTER	1642	1693
kaalund01_workid79011	 H. V. Kaalund	God nat!	SAMLEDE DIGTE	1818	1885
plough01_workid78811	 Carl Ploug	Til fru -	SAMLEDE DIGTE	1813	1894
paludanm03_workid108722	 Frederik Paludan-Müller	Fremtidsmaalet (1864)	POETISKE SKRIFTER I UDVALG III. BIND	1809	1876
kaalund01_workid93630	 H. V. Kaalund	Til den yngre slægt.	SAMLEDE DIGTE	1818	1885
hcaeventyr01val_workid61317	 Hans Christian Andersen	Den lille idas blomster	Eventyr I	1805	1875
kierkegaard02val_workid62753	 Søren Kierkegaard	Sygdommen til døden	Frygt og Bæven Sygdommen til Døden Taler	1813	1855
brorson01_workid73060	 Hans Adolph Brorson	Eneste barn	Samlede skrifter	1694	1764
kaalund01_workid56610	 H. V. Kaalund	Aftenskumring.	SAMLEDE DIGTE	1818	1885
hcaeventyr03val_workid80376	 Hans Christian Andersen	Gaardhanen og veirhanen	Eventyr III	1805	1875
claussen04val_workid59514	 Sophus Claussen	Efteraaret	Lyrik II	1865	1931
rode_02_workid59490	 Helge Rode	Høst	DIGTE	1870	1937
grundtvig05val_workid93209	 N.F.S. Grundtvig	Christoffer columbus	UDVALGTE SKRIFTER	1783	1872
hauch03val_workid68526	 Carsten Hauch	Valdemar atterdag	UDVALGTE SKRIFTER III	1790	1872
wied02val_workid77610	 Gustav Wied	Et eksperiment	Romaner Noveller Skuespil 2	1858	1914
claussen08val_workid61523	 Sophus Claussen	Skærveslagerens vise	Lyrik VI	1865	1931
ewald02dkval_workid67023	 Johannes Ewald	Sølvbryllupsvise	Udvalgte digte	1743	1781
schandorph06_workid73597	 Sophus Schandorph	Birgittes skæbne (1888)	ROMANER FJERDE BIND	1836	1901
richardt02_workid67245	 Christian Richardt	Den yndigste rose er funden	SAMLEDE DIGTE. ANDEN DEEL.	1831	1892
rode_13_workid58880	 Helge Rode	Carl nielsen	DEN VILDE ROSE	1870	1937
claussen03val_workid61586	 Sophus Claussen	Vision	Lyrik I	1865	1931
munp2_workid63246	 Gustaf Munch-Petersen	There's still riches	samlede skrifter II	1912	1938
kingo09val_workid76889	 Thomas Kingo	Trods længselens smerte	Digtning i udvalg	1634	1703
aakjaer02val_workid58870	 Jeppe Aakjær	Svalen.	SAMLEDE VÆRKER II	1866	1930
rode_02_workid57430	 Helge Rode	Gule og hvide baade	DIGTE	1870	1937
claussen09val_workid71770	 Sophus Claussen	Udløbet i uendeligheden	Lyrik VII	1865	1931
wintherchr01val_workid92570	 Christian Winther	Du vil ei troe, hvad jeg har sagt	Poetiske Skrifter 1	1796	1876
aakjaer01val_workid77192	 Jeppe Aakjær	Arbejdersang	SAMLEDE VÆRKER I	1866	1930
richardt01_workid60697	 Christian Richardt	Hr. mikkel.	SAMLEDE DIGTE AF CHR. RICHARDT. FØRSTE DEEL	1831	1892
brorson03grval_workid67079	 Hans Adolph Brorson	O du min immanuel,	Samlede skrifter	1694	1764
brandesed_06_workid54090	 Edvard Brandes	Lykkens blændværk	DET UNGE BLOD FORTÆLLING	1847	1931
grundtvig12val_workid66217	 N.F.S. Grundtvig	Kong pharao var en ugudelig krop	SAMLET UDGAVE	1783	1872
staffeldt01val_workid115318	 Schack von Staffeldt	Ganimed	Samlede digte	1769	1826
hertz10_lev_workid68171	 Henrik Hertz	Kjedelflikkeren	Blandede Digte	1798	1870
